,state,type,m²,posted_by,city,price_eur
1122,not listed,3 bedroom,60.0,agency,Ilidža,121380.0
1123,not listed,3 bedroom,60.0,individual,Prijedor,82620.0
1124,used,2 bedroom,50.0,agency,Sarajevo - Centar,119418.0
1125,new,3 bedroom,65.0,agency,Živinice,106080.0
1126,new,1.5 bedroom,53.0,agency,Živinice,66810.0
1127,not listed,2 bedroom,56.0,agency,Istočno Sarajevo,86700.0
1128,not listed,1 bedroom,42.0,agency,Istočno Sarajevo,76500.0
1129,not listed,2 bedroom,50.0,agency,Istočno Sarajevo,66300.0
1130,not listed,3 bedroom,52.0,agency,Prijedor,81600.0
1131,used,1 bedroom,46.05,agency,Bijeljina,59889.0
1132,used,1 bedroom,35.5,agency,Bijeljina,46180.0
1133,used,1 bedroom,38.95,agency,Bijeljina,50668.0
1134,used,1 bedroom,38.91,agency,Bijeljina,50617.0
1135,not listed,1 bedroom,32.55,agency,Banja Luka,69722.0
1136,not listed,2 bedroom,63.6,agency,Banja Luka,129744.0
1137,used,2 bedroom,67.0,agency,Mostar,89250.0
1138,used,2 bedroom,83.0,agency,Mostar,203490.0
1139,not listed,1.5 bedroom,39.7,agency,Banja Luka,83012.0
1140,not listed,1.5 bedroom,39.7,agency,Banja Luka,80294.0
1141,used,2 bedroom,45.0,individual,Banja Luka,99450.0
1142,used,2 bedroom,42.5,agency,Sarajevo - Stari Grad,104550.0
1143,used,3 bedroom,78.0,agency,Sarajevo - Novo Sarajevo,201450.0
1144,used,3 bedroom,73.0,agency,Sarajevo - Centar,208745.0
1145,used,2 bedroom,50.0,agency,Sarajevo - Centar,133289.0
1146,used,2 bedroom,58.0,agency,Sarajevo - Novi Grad,146880.0
